epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,36635.4,1.14008,0.92163,2.06571,0.87836,0.84405,0.89594,0.60432,1.28117,0.87666,3.11037,0.0006997,0.0006997,0.0006997
93,37051.7,1.12764,0.91123,2.03905,0.89502,0.87322,0.91351,0.6153,1.24308,0.79173,3.1326,0.0006964,0.0006964,0.0006964
94,37406.1,1.14542,0.89761,2.03249,0.89901,0.86495,0.91719,0.62405,1.32797,0.86411,3.14553,0.0006931,0.0006931,0.0006931
95,37757.2,1.12425,0.88811,2.02083,0.82886,0.86842,0.88808,0.61262,1.2717,0.92102,2.99406,0.0006898,0.0006898,0.0006898
96,38158.1,1.12812,0.89711,2.05917,0.87888,0.84911,0.89825,0.6168,1.28216,0.95259,3.0538,0.0006865,0.0006865,0.0006865
97,38565.2,1.12451,0.8949,2.02518,0.84705,0.87313,0.90771,0.61785,1.24635,0.86725,2.87201,0.0006832,0.0006832,0.0006832
98,38923.9,1.12306,0.8877,2.02789,0.87112,0.88739,0.90812,0.61332,1.25252,0.85922,3.19806,0.0006799,0.0006799,0.0006799
99,39279.3,1.11858,0.86952,1.9893,0.88217,0.85596,0.89938,0.61224,1.25453,0.9098,3.11133,0.0006766,0.0006766,0.0006766
100,39639.8,1.11049,0.87795,2.01899,0.86683,0.86862,0.90471,0.62259,1.25268,0.84726,3.16208,0.0006733,0.0006733,0.0006733
101,40050.3,1.09916,0.88179,2.02822,0.91299,0.84926,0.91236,0.62338,1.26387,0.89394,3.06951,0.00067,0.00067,0.00067
102,40446.7,1.09333,0.85751,1.97778,0.90206,0.84732,0.91901,0.63454,1.23691,0.83648,2.94882,0.0006667,0.0006667,0.0006667
103,40795.3,1.10291,0.87694,2.00957,0.89964,0.8415,0.91305,0.61948,1.25354,0.82998,3.20715,0.0006634,0.0006634,0.0006634
104,41137,1.0777,0.84972,1.98801,0.92013,0.84076,0.91937,0.63715,1.22796,0.87701,3.06198,0.0006601,0.0006601,0.0006601
105,41482.7,1.09981,0.86687,2.00563,0.87064,0.85034,0.90184,0.61794,1.2417,0.8368,2.9382,0.0006568,0.0006568,0.0006568
106,41835.2,1.12003,0.88112,2.01073,0.91317,0.86587,0.91949,0.63715,1.26106,0.89302,3.04131,0.0006535,0.0006535,0.0006535
107,42244.3,1.07922,0.83798,1.96261,0.88884,0.86795,0.9099,0.62384,1.28932,0.8509,3.107,0.0006502,0.0006502,0.0006502
108,42672.6,1.09709,0.88706,1.96254,0.88653,0.85837,0.90278,0.5955,1.30791,0.9275,2.98122,0.0006469,0.0006469,0.0006469
109,43124.2,1.10352,0.87564,2.02192,0.87296,0.85672,0.91155,0.62804,1.24212,0.90489,3.14917,0.0006436,0.0006436,0.0006436
110,43528.6,1.08019,0.84893,1.98664,0.86753,0.87334,0.90641,0.62025,1.27931,0.86018,3.04984,0.0006403,0.0006403,0.0006403
111,43935.7,1.06965,0.83844,1.96288,0.86363,0.88008,0.9136,0.63339,1.24704,0.85512,3.11578,0.000637,0.000637,0.000637
112,44289,1.07395,0.84882,1.96443,0.89762,0.85461,0.92,0.63521,1.22316,0.83679,3.22898,0.0006337,0.0006337,0.0006337
113,44641,1.08562,0.85446,1.98353,0.88107,0.86686,0.90181,0.62391,1.22179,0.8375,3.12395,0.0006304,0.0006304,0.0006304
114,45031.1,1.0815,0.85783,1.97816,0.85845,0.83543,0.89073,0.60698,1.27316,0.88437,3.04294,0.0006271,0.0006271,0.0006271
115,45383.8,1.0728,0.828,1.95768,0.86131,0.86365,0.90067,0.61547,1.23267,0.88635,3.11737,0.0006238,0.0006238,0.0006238
116,45730.3,1.06954,0.82728,1.9638,0.87629,0.87848,0.90129,0.61722,1.2702,0.93285,3.15099,0.0006205,0.0006205,0.0006205
117,46085.6,1.06162,0.84638,1.96195,0.90119,0.85708,0.91042,0.63609,1.23245,0.86856,3.2316,0.0006172,0.0006172,0.0006172
118,46473.3,1.07533,0.84636,1.9843,0.88421,0.85618,0.89885,0.63111,1.20268,0.80499,3.22474,0.0006139,0.0006139,0.0006139
119,46819.3,1.05296,0.83482,1.9333,0.89725,0.86781,0.90509,0.62246,1.27242,0.88964,3.06563,0.0006106,0.0006106,0.0006106
120,47166.7,1.07335,0.85013,1.99271,0.86531,0.8711,0.90184,0.62522,1.22532,0.92008,3.13215,0.0006073,0.0006073,0.0006073
121,47549.9,1.06856,0.8572,1.98623,0.92112,0.8453,0.90465,0.63127,1.23611,0.88073,3.17725,0.000604,0.000604,0.000604
122,47951.2,1.05177,0.82828,1.94712,0.88235,0.86503,0.91667,0.6386,1.22271,0.86662,2.96662,0.0006007,0.0006007,0.0006007
123,48297.4,1.04609,0.842,1.95329,0.91305,0.87423,0.90959,0.64075,1.1819,0.85697,3.15151,0.0005974,0.0005974,0.0005974
124,48639.6,1.06071,0.82804,1.96136,0.9317,0.84071,0.91813,0.63538,1.2526,0.86071,2.88282,0.0005941,0.0005941,0.0005941
125,48983.1,1.05931,0.83544,1.96338,0.91535,0.84264,0.9061,0.6437,1.21109,0.8707,3.19423,0.0005908,0.0005908,0.0005908
